Index,CRASH DATE,BOROUGH,LATITUDE,LONGITUDE,PERSONS INJURED,PERSONS KILLED,PEDESTRIANS INJURED,PEDESTRIANS KILLED,CYCLIST INJURED,CYCLIST KILLED,MOTORIST INJURED,MOTORIST KILLED,CONTRIBUTING FACTOR,VEHICLE TYPE
9665,4/14/2022,BROOKLYN,40.72015,-73.93783,1,0,1,0,0,0,0,0,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,Station Wagon/Sport Utility Vehicle
9666,4/13/2022,QUEENS,40.7609,-73.87018,0,0,0,0,0,0,0,0,Unspecified,Sedan
9667,4/13/2022,BROOKLYN,40.657665,-74.00093,1,0,0,0,0,0,1,0,Driver Inexperience,Pick-up Truck
9668,4/13/2022,QUEENS,40.766857,-73.76269,1,0,0,0,0,0,1,0,Driver Inattention/Distraction,Station Wagon/Sport Utility Vehicle
9669,4/14/2022,BROOKLYN,40.63659,-73.994736,0,0,0,0,0,0,0,0,Passing or Lane Usage Improper,Station Wagon/Sport Utility Vehicle
9670,4/12/2022,MANHATTAN,40.71755,-73.99932,0,0,0,0,0,0,0,0,Following Too Closely,Sedan
9671,4/14/2022,BROOKLYN,40.719166,-73.94854,1,0,1,0,0,0,0,0,Failure to Yield Right-of-Way,E-Scooter
9672,1/9/2022,QUEENS,40.761112,-73.86814,2,0,0,0,0,0,2,0,Traffic Control Disregarded,Station Wagon/Sport Utility Vehicle
9673,1/14/2022,BROOKLYN,40.67043,-73.928185,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Pick-up Truck
9674,1/23/2022,QUEENS,40.776188,-73.90596,3,0,0,0,0,0,3,0,Driver Inattention/Distraction,Sedan
9675,1/22/2022,BRONX,40.869633,-73.82653,0,0,0,0,0,0,0,0,Unspecified,Sedan
9676,1/25/2022,BROOKLYN,40.69099,-73.99175,3,0,0,0,0,0,3,0,Failure to Yield Right-of-Way,Sedan
9677,1/26/2022,QUEENS,40.790615,-73.83901,1,0,0,0,0,0,1,0,Failure to Yield Right-of-Way,Sedan
9678,1/16/2022,BROOKLYN,40.668667,-73.868324,1,0,0,0,0,0,1,0,Reaction to Uninvolved Vehicle,Sedan
9679,2/22/2022,BROOKLYN,40.69278,-73.98895,0,0,0,0,0,0,0,0,Unspecified,Station Wagon/Sport Utility Vehicle
9680,1/26/2022,MANHATTAN,40.81636,-73.954094,1,0,1,0,0,0,0,0,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,Station Wagon/Sport Utility Vehicle
9681,1/26/2022,BRONX,40.813095,-73.89827,1,0,0,0,0,0,1,0,Failure to Yield Right-of-Way,Sedan
9682,2/21/2022,QUEENS,40.669876,-73.84741,0,0,0,0,0,0,0,0,Failure to Yield Right-of-Way,Station Wagon/Sport Utility Vehicle
9683,2/21/2022,MANHATTAN,40.75892,-73.999695,0,0,0,0,0,0,0,0,Following Too Closely,Sedan
9684,2/20/2022,BRONX,40.88024,-73.83819,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Station Wagon/Sport Utility Vehicle
9685,2/21/2022,STATEN ISLAND,40.60398,-74.11539,1,0,0,0,0,0,1,0,Unspecified,Sedan
9686,2/21/2022,MANHATTAN,40.857838,-73.932045,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Sedan
9687,2/21/2022,QUEENS,40.741924,-73.854546,0,0,0,0,0,0,0,0,Aggressive Driving/Road Rage,Station Wagon/Sport Utility Vehicle
9688,2/20/2022,BROOKLYN,40.627213,-73.99895,0,0,0,0,0,0,0,0,Failure to Yield Right-of-Way,Station Wagon/Sport Utility Vehicle
9689,2/10/2022,BROOKLYN,40.639915,-73.94549,0,0,0,0,0,0,0,0,Unspecified,Sedan
9690,2/18/2022,STATEN ISLAND,40.640568,-74.118,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Sedan
9691,2/21/2022,QUEENS,40.708405,-73.730835,0,0,0,0,0,0,0,0,Traffic Control Disregarded,Station Wagon/Sport Utility Vehicle
9692,2/21/2022,BROOKLYN,40.632065,-73.91861,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Station Wagon/Sport Utility Vehicle
9693,2/17/2022,MANHATTAN,40.763733,-73.962074,0,0,0,0,0,0,0,0,Unspecified,4 dr sedan
9694,2/21/2022,QUEENS,40.728302,-73.8549,1,0,1,0,0,0,0,0,Failure to Yield Right-of-Way,Sedan
9695,2/21/2022,BROOKLYN,40.643024,-73.981895,0,0,0,0,0,0,0,0,Oversized Vehicle,Box Truck
9696,2/21/2022,QUEENS,40.667114,-73.834656,0,0,0,0,0,0,0,0,Reaction to Uninvolved Vehicle,Station Wagon/Sport Utility Vehicle
9697,2/21/2022,QUEENS,40.666397,-73.75337,1,0,0,0,0,0,1,0,Unspecified,Sedan
9698,1/29/2022,BROOKLYN,40.674763,-73.92267,0,0,0,0,0,0,0,0,Unspecified,Station Wagon/Sport Utility Vehicle
9699,1/28/2022,QUEENS,40.676693,-73.74221,0,0,0,0,0,0,0,0,Passing or Lane Usage Improper,Station Wagon/Sport Utility Vehicle
9700,1/12/2022,BRONX,40.850487,-73.88675,0,0,0,0,0,0,0,0,Pavement Slippery,Sedan
9701,1/29/2022,BRONX,40.85566,-73.86988,0,0,0,0,0,0,0,0,Unspecified,Sedan
9702,1/22/2022,MANHATTAN,40.71539,-73.99785,0,0,0,0,0,0,0,0,Following Too Closely,Sedan
9703,1/31/2022,MANHATTAN,40.752438,-73.98819,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Armored Truck
9704,1/28/2022,MANHATTAN,40.848736,-73.93234,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Sedan
9705,1/27/2022,BROOKLYN,40.667027,-73.911026,1,0,1,0,0,0,0,0,Unspecified,Sedan
9706,1/27/2022,MANHATTAN,40.719223,-74.00786,0,0,0,0,0,0,0,0,Alcohol Involvement,Sedan
