CRASH DATE,BOROUGH,LATITUDE,LONGITUDE,PERSONS INJURED,PERSONS KILLED,PEDESTRIANS INJURED,PEDESTRIANS KILLED,CYCLIST INJURED,CYCLIST KILLED,MOTORIST INJURED,MOTORIST KILLED,CONTRIBUTING FACTOR,VEHICLE TYPE
2022-07-12,BROOKLYN,40.663303,-73.96049,0.0,0.0,0,0,0,0,0,0,Oversized Vehicle,Sedan
2022-04-24,BROOKLYN,40.642986,-74.01621,0.0,0.0,0,0,0,0,0,0,Unspecified,Station Wagon/Sport Utility Vehicle
2022-04-24,BRONX,40.843906,-73.92413,0.0,0.0,0,0,0,0,0,0,Alcohol Involvement,Taxi
2022-04-24,BRONX,40.89481,-73.86183,0.0,0.0,0,0,0,0,0,0,Driver Inattention/Distraction,Sedan
2022-04-24,BRONX,40.861862,-73.91275,0.0,0.0,0,0,0,0,0,0,Driver Inattention/Distraction,Sedan
2022-03-08,BROOKLYN,40.666256,-73.900215,0.0,0.0,0,0,0,0,0,0,Unspecified,Sedan
2022-04-24,MANHATTAN,40.767242,-73.986206,1.0,0.0,0,0,1,0,0,0,View Obstructed/Limited,Station Wagon/Sport Utility Vehicle
2022-04-22,BROOKLYN,40.62417,-73.97048,1.0,0.0,0,0,0,0,1,0,Unspecified,Sedan
2022-04-24,BROOKLYN,40.692356,-73.94282,1.0,0.0,0,0,0,0,1,0,Traffic Control Disregarded,Station Wagon/Sport Utility Vehicle
2022-04-12,BROOKLYN,40.65011,-73.930214,1.0,0.0,1,0,0,0,0,0,Failure to Yield Right-of-Way,Station Wagon/Sport Utility Vehicle
2022-04-24,QUEENS,40.69261,-73.81143,0.0,0.0,0,0,0,0,0,0,Aggressive Driving/Road Rage,Sedan
2022-04-24,QUEENS,40.745235,-73.937706,1.0,0.0,0,0,0,0,1,0,Driver Inattention/Distraction,Sedan
2022-04-24,QUEENS,40.758705,-73.93793,1.0,0.0,0,0,0,0,1,0,Driver Inattention/Distraction,Sedan
2022-04-24,QUEENS,40.695156,-73.845406,0.0,0.0,0,0,0,0,0,0,Reaction to Uninvolved Vehicle,Ambulance
